film,year,award,winner,name,age,
The Great Ziegfeld,1937,Best Actress,winner,Luise Rainer,27,25-35
Theodora Goes Wild,1937,Best Actress,nominee,Irene Dunne,38,35-45
Romeo and Juliet,1937,Best Actress,nominee,Norma Shearer,34,25-35
Valiant Is the Word for Carrie,1937,Best Actress,nominee,Gladys George,32,25-35
My Man Godfrey,1937,Best Actress,nominee,Carole Lombard,28,25-35
Come and Get It,1937,Best Supporting Actor,winner,Walter Brennan,42,35-45
Romeo and Juliet,1937,Best Supporting Actor,nominee,Basil Rathbone,44,35-45
The General Died at Dawn,1937,Best Supporting Actor,nominee,Akim Tamiroff,37,35-45
Pigskin Parade,1937,Best Supporting Actor,nominee,Stuart Erwin,34,25-35
My Man Godfrey,1937,Best Supporting Actor,nominee,Mischa Auer,31,25-35
Anthony Adverse,1937,Best Supporting Actress,winner,Gale Sondergaard,38,35-45
Dodsworth,1937,Best Supporting Actress,nominee,Maria Ouspenskaya,60,55-65
The Gorgeous Hussy,1937,Best Supporting Actress,nominee,Beulah Bondi,48,45-55
My Man Godfrey,1937,Best Supporting Actress,nominee,Alice Brady,44,35-45
These Three,1937,Best Supporting Actress,nominee,Bonita Granville,14,< 25
Captains Courageous,1938,Best Actor,winner,Spencer Tracy,37,35-45
The Life of Emile Zola,1938,Best Actor,nominee,Paul Muni,42,35-45
A Star Is Born,1938,Best Actor,nominee,Fredric March,40,35-45
Conquest,1938,Best Actor,nominee,Charles Boyer,38,35-45
Night Must Fall,1938,Best Actor,nominee,Robert Montgomery,33,25-35
The Good Earth,1938,Best Actress,winner,Luise Rainer,28,25-35
The Awful Truth,1938,Best Actress,nominee,Irene Dunne,39,35-45
Camille,1938,Best Actress,nominee,Greta Garbo,32,25-35
A Star Is Born,1938,Best Actress,nominee,Janet Gaynor,31,25-35
Stella Dallas,1938,Best Actress,nominee,Barbara Stanwyck,30,25-35
The Life of Emile Zola,1938,Best Supporting Actor,winner,Joseph Schildkraut,41,35-45
Lost Horizon,1938,Best Supporting Actor,nominee,H. B. Warner,62,55-65
Topper,1938,Best Supporting Actor,nominee,Roland Young,50,45-55
The Hurricane,1938,Best Supporting Actor,nominee,Thomas Mitchell,45,45-55
The Awful Truth,1938,Best Supporting Actor,nominee,Ralph Bellamy,33,25-35
In Old Chicago,1938,Best Supporting Actress,winner,Alice Brady,45,45-55
Night Must Fall,1938,Best Supporting Actress,nominee,Dame May Whitty,72,> 65
Dead End,1938,Best Supporting Actress,nominee,Claire Trevor,28,25-35
Stage Door,1938,Best Supporting Actress,nominee,Andrea Leeds,23,< 25
Stella Dallas,1938,Best Supporting Actress,nominee,Anne Shirley,19,< 25
Boys Town,1939,Best Actor,winner,Spencer Tracy,38,35-45
Pygmalion,1939,Best Actor,nominee,Leslie Howard,45,45-55
Angels with Dirty Faces,1939,Best Actor,nominee,James Cagney,39,35-45
Algiers,1939,Best Actor,nominee,Charles Boyer,39,35-45
The Citadel,1939,Best Actor,nominee,Robert Donat,33,25-35
Jezebel,1939,Best Actress,winner,Bette Davis,30,25-35
White Banners,1939,Best Actress,nominee,Fay Bainter,45,45-55
Marie Antoinette,1939,Best Actress,nominee,Norma Shearer,36,35-45
Three Comrades,1939,Best Actress,nominee,Margaret Sullavan,29,25-35
Pygmalion,1939,Best Actress,nominee,Wendy Hiller,26,25-35
Kentucky,1939,Best Supporting Actor,winner,Walter Brennan,44,35-45
Algiers,1939,Best Supporting Actor,nominee,Gene Lockhart,47,45-55
If I Were King,1939,Best Supporting Actor,nominee,Basil Rathbone,46,45-55
Marie Antoinette,1939,Best Supporting Actor,nominee,Robert Morley,30,25-35
Four Daughters,1939,Best Supporting Actor,nominee,John Garfield,25,25-35
Jezebel,1939,Best Supporting Actress,winner,Fay Bainter,45,45-55
Merrily We Live,1939,Best Supporting Actress,nominee,Billie Burke,54,45-55
You Can't Take It With You,1939,Best Supporting Actress,nominee,Spring Byington,52,45-55
Of Human Hearts,1939,Best Supporting Actress,nominee,Beulah Bondi,50,45-55
The Great Waltz,1939,Best Supporting Actress,nominee,Miliza Korjus,29,25-35
"Goodbye, Mr. Chips",1940,Best Actor,winner,Robert Donat,34,25-35
Gone with the Wind,1940,Best Actor,nominee,Clark Gable,39,35-45
Wuthering Heights,1940,Best Actor,nominee,Laurence Olivier,32,25-35
Mr. Smith Goes to Washington,1940,Best Actor,nominee,James Stewart,31,25-35
Babes in Arms,1940,Best Actor,nominee,Mickey Rooney,19,< 25
Gone with the Wind,1940,Best Actress,winner,Vivien Leigh,26,25-35
Love Affair,1940,Best Actress,nominee,Irene Dunne,41,35-45
"Goodbye, Mr. Chips",1940,Best Actress,nominee,Greer Garson,35,35-45
Ninotchka,1940,Best Actress,nominee,Greta Garbo,34,25-35
Dark Victory,1940,Best Actress,nominee,Bette Davis,31,25-35
Stagecoach,1940,Best Supporting Actor,winner,Thomas Mitchell,47,45-55
Mr. Smith Goes to Washington,1940,Best Supporting Actor,nominee,Harry Carey,62,55-65
Mr. Smith Goes to Washington,1940,Best Supporting Actor,nominee,Claude Rains,50,45-55
Beau Geste,1940,Best Supporting Actor,nominee,Brian Donlevy,39,35-45
Juarez,1940,Best Supporting Actor,nominee,Brian Aherne,37,35-45
Gone with the Wind,1940,Best Supporting Actress,winner,Hattie McDaniel,44,35-45
Love Affair,1940,Best Supporting Actress,nominee,Maria Ouspenskaya,63,55-65
Drums Along the Mohawk,1940,Best Supporting Actress,nominee,Edna May Oliver,56,55-65
Wuthering Heights,1940,Best Supporting Actress,nominee,Geraldine Fitzgerald,26,25-35
Gone with the Wind,1940,Best Supporting Actress,nominee,Olivia de Havilland,23,< 25
The Philadelphia Story,1941,Best Actor,winner,James Stewart,32,25-35
The Great Dictator,1941,Best Actor,nominee,Charles Chaplin,51,45-55
Abe Lincoln in Illinois,1941,Best Actor,nominee,Raymond Massey,44,35-45
The Grapes of Wrath,1941,Best Actor,nominee,Henry Fonda,35,35-45
Rebecca,1941,Best Actor,nominee,Laurence Olivier,33,25-35
Kitty Foyle,1941,Best Actress,winner,Ginger Rogers,29,25-35
The Philadelphia Story,1941,Best Actress,nominee,Katharine Hepburn,33,25-35
The Letter,1941,Best Actress,nominee,Bette Davis,32,25-35
Our Town,1941,Best Actress,nominee,Martha Scott,28,25-35
Rebecca,1941,Best Actress,nominee,Joan Fontaine,23,< 25
The Westerner,1941,Best Supporting Actor,winner,Walter Brennan,46,45-55
Foreign Correspondent,1941,Best Supporting Actor,nominee,Albert Bassermann,73,> 65
The Letter,1941,Best Supporting Actor,nominee,James Stephenson,51,45-55
The Great Dictator,1941,Best Supporting Actor,nominee,Jack Oakie,37,35-45
They Knew What They Wanted,1941,Best Supporting Actor,nominee,William Gargan,35,35-45
The Grapes of Wrath,1941,Best Supporting Actress,winner,Jane Darwell,61,55-65
Primrose Path,1941,Best Supporting Actress,nominee,Marjorie Rambeau,51,45-55
Rebecca,1941,Best Supporting Actress,nominee,Judith Anderson,44,35-45
"All This, and Heaven Too",1941,Best Supporting Actress,nominee,Barbara O'Neil,30,25-35
The Philadelphia Story,1941,Best Supporting Actress,nominee,Ruth Hussey,29,25-35
Sergeant York,1942,Best Actor,winner,Gary Cooper,40,35-45
All That Money Can Buy,1942,Best Actor,nominee,Walter Huston,58,55-65
Penny Serenade,1942,Best Actor,nominee,Cary Grant,38,35-45
Here Comes Mr. Jordan,1942,Best Actor,nominee,Robert Montgomery,37,35-45
Citizen Kane,1942,Best Actor,nominee,Orson Welles,26,25-35
Suspicion,1942,Best Actress,winner,Joan Fontaine,24,< 25
Blossoms in the Dust,1942,Best Actress,nominee,Greer Garson,37,35-45
Ball of Fire,1942,Best Actress,nominee,Barbara Stanwyck,34,25-35
The Little Foxes,1942,Best Actress,nominee,Bette Davis,33,25-35
Hold Back the Dawn,1942,Best Actress,nominee,Olivia de Havilland,25,25-35
How Green Was My Valley,1942,Best Supporting Actor,winner,Donald Crisp,59,55-65
The Devil and Miss Jones,1942,Best Supporting Actor,nominee,Charles Coburn,64,55-65
The Maltese Falcon,1942,Best Supporting Actor,nominee,Sydney Greenstreet,62,55-65
Here Comes Mr. Jordan,1942,Best Supporting Actor,nominee,James Gleason,59,55-65
Sergeant York,1942,Best Supporting Actor,nominee,Walter Brennan,47,45-55
The Great Lie,1942,Best Supporting Actress,winner,Mary Astor,35,35-45
How Green Was My Valley,1942,Best Supporting Actress,nominee,Sara Allgood,62,55-65
Sergeant York,1942,Best Supporting Actress,nominee,Margaret Wycherly,60,55-65
The Little Foxes,1942,Best Supporting Actress,nominee,Patricia Collinge,49,45-55
The Little Foxes,1942,Best Supporting Actress,nominee,Teresa Wright,23,< 25
Yankee Doodle Dandy,1943,Best Actor,winner,James Cagney,43,35-45
The Pied Piper,1943,Best Actor,nominee,Monty Woolley,54,45-55
Random Harvest,1943,Best Actor,nominee,Ronald Colman,52,45-55
Mrs. Miniver,1943,Best Actor,nominee,Walter Pidgeon,45,45-55
The Pride of the Yankees,1943,Best Actor,nominee,Gary Cooper,41,35-45
Mrs. Miniver,1943,Best Actress,winner,Greer Garson,38,35-45
Woman of the Year,1943,Best Actress,nominee,Katharine Hepburn,35,35-45
My Sister Eileen,1943,Best Actress,nominee,Rosalind Russell,35,35-45
"Now, Voyager",1943,Best Actress,nominee,Bette Davis,34,25-35
The Pride of the Yankees,1943,Best Actress,nominee,Teresa Wright,24,< 25
Johnny Eager,1943,Best Supporting Actor,winner,Van Heflin,32,25-35
Mrs. Miniver,1943,Best Supporting Actor,nominee,Henry Travers,69,> 65
Yankee Doodle Dandy,1943,Best Supporting Actor,nominee,Walter Huston,59,55-65
Tortilla Flat,1943,Best Supporting Actor,nominee,Frank Morgan,52,45-55
Wake Island,1943,Best Supporting Actor,nominee,William Bendix,37,35-45
Mrs. Miniver,1943,Best Supporting Actress,winner,Teresa Wright,24,< 25
Mrs. Miniver,1943,Best Supporting Actress,nominee,Dame May Whitty,77,> 65
"Now, Voyager",1943,Best Supporting Actress,nominee,Gladys Cooper,54,45-55
The Magnificent Ambersons,1943,Best Supporting Actress,nominee,Agnes Moorehead,42,35-45
Random Harvest,1943,Best Supporting Actress,nominee,Susan Peters,21,< 25
Watch on the Rhine,1944,Best Actor,winner,Paul Lukas,52,45-55
Madame Curie,1944,Best Actor,nominee,Walter Pidgeon,46,45-55
Casablanca,1944,Best Actor,nominee,Humphrey Bogart,44,35-45
For Whom the Bell Tolls,1944,Best Actor,nominee,Gary Cooper,42,35-45
The Human Comedy,1944,Best Actor,nominee,Mickey Rooney,23,< 25
The Song of Bernadette,1944,Best Actress,winner,Jennifer Jones,25,25-35
The More the Merrier,1944,Best Actress,nominee,Jean Arthur,43,35-45
Madame Curie,1944,Best Actress,nominee,Greer Garson,39,35-45
For Whom the Bell Tolls,1944,Best Actress,nominee,Ingrid Bergman,28,25-35
The Constant Nymph,1944,Best Actress,nominee,Joan Fontaine,26,25-35
The More the Merrier,1944,Best Supporting Actor,winner,Charles Coburn,66,> 65
Casablanca,1944,Best Supporting Actor,nominee,Claude Rains,54,45-55
The Song of Bernadette,1944,Best Supporting Actor,nominee,Charles Bickford,53,45-55
Sahara,1944,Best Supporting Actor,nominee,J. Carrol Naish,48,45-55
For Whom the Bell Tolls,1944,Best Supporting Actor,nominee,Akim Tamiroff,44,35-45
For Whom the Bell Tolls,1944,Best Supporting Actress,winner,Katina Paxinou,43,35-45
Watch on the Rhine,1944,Best Supporting Actress,nominee,Lucile Watson,64,55-65
The Song of Bernadette,1944,Best Supporting Actress,nominee,Gladys Cooper,55,55-65
The Song of Bernadette,1944,Best Supporting Actress,nominee,Anne Revere,40,35-45
So Proudly We Hail!,1944,Best Supporting Actress,nominee,Paulette Goddard,33,25-35
Going My Way,1945,Best Actor,winner,Bing Crosby,41,35-45
Going My Way,1945,Best Actor,nominee,Barry Fitzgerald,57,55-65
Gaslight,1945,Best Actor,nominee,Charles Boyer,45,45-55
None But the Lonely Heart,1945,Best Actor,nominee,Cary Grant,41,35-45
Wilson,1945,Best Actor,nominee,Alexander Knox,38,35-45
Gaslight,1945,Best Actress,winner,Ingrid Bergman,29,25-35
Since You Went Away,1945,Best Actress,nominee,Claudette Colbert,41,35-45
Mrs. Parkington,1945,Best Actress,nominee,Greer Garson,40,35-45
Double Indemnity,1945,Best Actress,nominee,Barbara Stanwyck,37,35-45
Mr. Skeffington,1945,Best Actress,nominee,Bette Davis,36,35-45
Going My Way,1945,Best Supporting Actor,winner,Barry Fitzgerald,57,55-65
Since You Went Away,1945,Best Supporting Actor,nominee,Monty Woolley,56,55-65
Mr. Skeffington,1945,Best Supporting Actor,nominee,Claude Rains,55,55-65
Laura,1945,Best Supporting Actor,nominee,Clifton Webb,55,55-65
The Seventh Cross,1945,Best Supporting Actor,nominee,Hume Cronyn,33,25-35
None But the Lonely Heart,1945,Best Supporting Actress,winner,Ethel Barrymore,65,55-65
Dragon Seed,1945,Best Supporting Actress,nominee,Aline MacMahon,45,45-55
Mrs. Parkington,1945,Best Supporting Actress,nominee,Agnes Moorehead,44,35-45
Since You Went Away,1945,Best Supporting Actress,nominee,Jennifer Jones,26,25-35
Gaslight,1945,Best Supporting Actress,nominee,Angela Lansbury,19,< 25
The Lost Weekend,1946,Best Actor,winner,Ray Milland,39,35-45
The Bells of St. Mary's,1946,Best Actor,nominee,Bing Crosby,42,35-45
Anchors Aweigh,1946,Best Actor,nominee,Gene Kelly,33,25-35
A Song to Remember,1946,Best Actor,nominee,Cornel Wilde,33,25-35
The Keys of the Kingdom,1946,Best Actor,nominee,Gregory Peck,29,25-35
Mildred Pierce,1946,Best Actress,winner,Joan Crawford,41,35-45
The Valley of Decision,1946,Best Actress,nominee,Greer Garson,41,35-45
The Bells of St. Mary's,1946,Best Actress,nominee,Ingrid Bergman,30,25-35
Love Letters,1946,Best Actress,nominee,Jennifer Jones,27,25-35
Leave Her to Heaven,1946,Best Actress,nominee,Gene Tierney,25,25-35
A Tree Grows in Brooklyn,1946,Best Supporting Actor,winner,James Dunn,44,35-45
Spellbound,1946,Best Supporting Actor,nominee,Michael Chekhov,54,45-55
A Medal for Benny,1946,Best Supporting Actor,nominee,J. Carrol Naish,50,45-55
G.I. Joe,1946,Best Supporting Actor,nominee,Robert Mitchum,28,25-35
The Corn Is Green,1946,Best Supporting Actor,nominee,John Dall,27,25-35
National Velvet,1946,Best Supporting Actress,winner,Anne Revere,42,35-45
Mildred Pierce,1946,Best Supporting Actress,nominee,Eve Arden,37,35-45
The Picture of Dorian Gray,1946,Best Supporting Actress,nominee,Angela Lansbury,20,< 25
The Corn Is Green,1946,Best Supporting Actress,nominee,Joan Lorring,19,< 25
Mildred Pierce,1946,Best Supporting Actress,nominee,Ann Blyth,17,< 25
The Best Years of Our Lives,1947,Best Actor,winner,Fredric March,49,45-55
Henry V,1947,Best Actor,nominee,Laurence Olivier,39,35-45
It's a Wonderful Life,1947,Best Actor,nominee,James Stewart,38,35-45
The Jolson Story,1947,Best Actor,nominee,Larry Parks,32,25-35
The Yearling,1947,Best Actor,nominee,Gregory Peck,30,25-35
To Each His Own,1947,Best Actress,winner,Olivia de Havilland,30,25-35
Sister Kenny,1947,Best Actress,nominee,Rosalind Russell,39,35-45
Brief Encounter,1947,Best Actress,nominee,Celia Johnson,38,35-45
The Yearling,1947,Best Actress,nominee,Jane Wyman,30,25-35
Duel in the Sun,1947,Best Actress,nominee,Jennifer Jones,28,25-35
The Best Years of Our Lives,1947,Best Supporting Actor,winner,Harold Russell,33,25-35
The Green Years,1947,Best Supporting Actor,nominee,Charles Coburn,69,> 65
Notorious,1947,Best Supporting Actor,nominee,Claude Rains,57,55-65
The Razor's Edge,1947,Best Supporting Actor,nominee,Clifton Webb,57,55-65
The Jolson Story,1947,Best Supporting Actor,nominee,William Demarest,55,55-65
The Razor's Edge,1947,Best Supporting Actress,winner,Anne Baxter,23,< 25
The Spiral Staircase,1947,Best Supporting Actress,nominee,Ethel Barrymore,67,> 65
Duel in the Sun,1947,Best Supporting Actress,nominee,Lillian Gish,53,45-55
Anna and the King of Siam,1947,Best Supporting Actress,nominee,Gale Sondergaard,48,45-55
Saratoga Trunk,1947,Best Supporting Actress,nominee,Flora Robson,44,35-45
A Double Life,1948,Best Actor,winner,Ronald Colman,57,55-65
Life with Father,1948,Best Actor,nominee,William Powell,55,55-65
Mourning Becomes Electra,1948,Best Actor,nominee,Michael Redgrave,40,35-45
Body and Soul,1948,Best Actor,nominee,John Garfield,35,35-45
Gentleman's Agreement,1948,Best Actor,nominee,Gregory Peck,31,25-35
The Farmer's Daughter,1948,Best Actress,winner,Loretta Young,35,35-45
Possessed,1948,Best Actress,nominee,Joan Crawford,44,35-45
Mourning Becomes Electra,1948,Best Actress,nominee,Rosalind Russell,40,35-45
Gentleman's Agreement,1948,Best Actress,nominee,Dorothy McGuire,31,25-35
Smash-Up: The Story of a Woman,1948,Best Actress,nominee,Susan Hayward,30,25-35
Miracle on 34th Street,1948,Best Supporting Actor,winner,Edmund Gwenn,70,> 65
The Farmer's Daughter,1948,Best Supporting Actor,nominee,Charles Bickford,57,55-65
Ride the Pink Horse,1948,Best Supporting Actor,nominee,Thomas Gomez,42,35-45
Crossfire,1948,Best Supporting Actor,nominee,Robert Ryan,38,35-45
Kiss of Death,1948,Best Supporting Actor,nominee,Richard Widmark,33,25-35
Gentleman's Agreement,1948,Best Supporting Actress,winner,Celeste Holm,30,25-35
The Paradine Case,1948,Best Supporting Actress,nominee,Ethel Barrymore,68,> 65
The Egg and I,1948,Best Supporting Actress,nominee,Marjorie Main,58,55-65
Gentleman's Agreement,1948,Best Supporting Actress,nominee,Anne Revere,44,35-45
Crossfire,1948,Best Supporting Actress,nominee,Gloria Grahame,24,< 25
Hamlet,1949,Best Actor,winner,Laurence Olivier,41,35-45
Sitting Pretty,1949,Best Actor,nominee,Clifton Webb,59,55-65
Johnny Belinda,1949,Best Actor,nominee,Lew Ayres,40,35-45
When My Baby Smiles at Me,1949,Best Actor,nominee,Dan Dailey,33,25-35
The Search,1949,Best Actor,nominee,Montgomery Clift,28,25-35
Johnny Belinda,1949,Best Actress,winner,Jane Wyman,32,25-35
I Remember Mama,1949,Best Actress,nominee,Irene Dunne,50,45-55
"Sorry, Wrong Number",1949,Best Actress,nominee,Barbara Stanwyck,41,35-45
Joan of Arc,1949,Best Actress,nominee,Ingrid Bergman,33,25-35
The Snake Pit,1949,Best Actress,nominee,Olivia de Havilland,32,25-35
The Treasure of the Sierra Madre,1949,Best Supporting Actor,winner,Walter Huston,66,> 65
The Luck of the Irish,1949,Best Supporting Actor,nominee,Cecil Kellaway,58,55-65
Johnny Belinda,1949,Best Supporting Actor,nominee,Charles Bickford,58,55-65
I Remember Mama,1949,Best Supporting Actor,nominee,Oscar Homolka,50,45-55
Joan of Arc,1949,Best Supporting Actor,nominee,Jos_ Ferrer,37,35-45
Key Largo,1949,Best Supporting Actress,winner,Claire Trevor,39,35-45
Johnny Belinda,1949,Best Supporting Actress,nominee,Agnes Moorehead,48,45-55
I Remember Mama,1949,Best Supporting Actress,nominee,Ellen Corby,37,35-45
I Remember Mama,1949,Best Supporting Actress,nominee,Barbara Bel Geddes,26,25-35
Hamlet,1949,Best Supporting Actress,nominee,Jean Simmons,20,< 25
All the King's Men,1950,Best Actor,winner,Broderick Crawford,38,35-45
Sands of Iwo Jima,1950,Best Actor,nominee,John Wayne,42,35-45
Twelve O'Clock High,1950,Best Actor,nominee,Gregory Peck,33,25-35
Champion,1950,Best Actor,nominee,Kirk Douglas,33,25-35
The Hasty Heart,1950,Best Actor,nominee,Richard Todd,30,25-35
The Heiress,1950,Best Actress,winner,Olivia de Havilland,33,25-35
Come to the Stable,1950,Best Actress,nominee,Loretta Young,37,35-45
My Foolish Heart,1950,Best Actress,nominee,Susan Hayward,32,25-35
"Edward, My Son",1950,Best Actress,nominee,Deborah Kerr,28,25-35
Pinky,1950,Best Actress,nominee,Jeanne Crain,24,< 25
Twelve O'Clock High,1950,Best Supporting Actor,winner,Dean Jagger,46,45-55
The Heiress,1950,Best Supporting Actor,nominee,Ralph Richardson,47,45-55
All the King's Men,1950,Best Supporting Actor,nominee,John Ireland,36,35-45
Champion,1950,Best Supporting Actor,nominee,Arthur Kennedy,36,35-45
Battleground,1950,Best Supporting Actor,nominee,James Whitmore,28,25-35
All the King's Men,1950,Best Supporting Actress,winner,Mercedes McCambridge,34,25-35
Pinky,1950,Best Supporting Actress,nominee,Ethel Barrymore,70,> 65
Pinky,1950,Best Supporting Actress,nominee,Ethel Waters,53,45-55
Come to the Stable,1950,Best Supporting Actress,nominee,Elsa Lanchester,47,45-55
Come to the Stable,1950,Best Supporting Actress,nominee,Celeste Holm,32,25-35
Cyrano De Bergerac,1951,Best Actor,winner,Jos_ Ferrer,39,35-45
The Magnificent Yankee,1951,Best Actor,nominee,Louis Calhern,56,55-65
Father of the Bride,1951,Best Actor,nominee,Spencer Tracy,51,45-55
Harvey,1951,Best Actor,nominee,James Stewart,42,35-45
Sunset Blvd.,1951,Best Actor,nominee,William Holden,32,25-35
Born Yesterday,1951,Best Actress,winner,Judy Holliday,29,25-35
Sunset Blvd.,1951,Best Actress,nominee,Gloria Swanson,52,45-55
All About Eve,1951,Best Actress,nominee,Bette Davis,43,35-45
Caged,1951,Best Actress,nominee,Eleanor Parker,28,25-35
All About Eve,1951,Best Actress,nominee,Anne Baxter,27,25-35
All About Eve,1951,Best Supporting Actor,winner,George Sanders,44,35-45
Mister 880,1951,Best Supporting Actor,nominee,Edmund Gwenn,73,> 65
Sunset Blvd.,1951,Best Supporting Actor,nominee,Erich von Stroheim,65,55-65
The Asphalt Jungle,1951,Best Supporting Actor,nominee,Sam Jaffe,60,55-65
Broken Arrow,1951,Best Supporting Actor,nominee,Jeff Chandler,32,25-35
Harvey,1951,Best Supporting Actress,winner,Josephine Hull,65,55-65
Caged,1951,Best Supporting Actress,nominee,Hope Emerson,53,45-55
All About Eve,1951,Best Supporting Actress,nominee,Thelma Ritter,49,45-55
All About Eve,1951,Best Supporting Actress,nominee,Celeste Holm,33,25-35
Sunset Blvd.,1951,Best Supporting Actress,nominee,Nancy Olson,22,< 25
The African Queen,1952,Best Actor,winner,Humphrey Bogart,52,45-55
Death of a Salesman,1952,Best Actor,nominee,Fredric March,54,45-55
Bright Victory,1952,Best Actor,nominee,Arthur Kennedy,38,35-45
