Lorem1,Lorem2,Lorem3,Lorem4,Lorem5,Lorem6,Lorem7
Completed,no action,Incomplete,United Kingdom,Natural Resource Investments,Non Lorem,Desktop
No,no action,Incomplete,Americas,FI Credit,Yes,Intranet
No,no action,Completed,Asia Pacific,Prime Services,Yes,Desktop
Yes,no action,Incomplete,United Kingdom,Commodities,Yes,None
No,no action,Incomplete,United Kingdom,Commodities,Yes,None
No,Signed,Completed,Americas,Emerging Markets,Yes,Intranet
Completed,Signed,Completed,United Kingdom,Syndicate,Non Lorem,Desktop
No,no action,Completed,Americas,Municipals,Yes,Intranet
Completed,no action,Completed,Americas,Prime Services,Non Lorem,Desktop
Yes,Signed,Completed,United Kingdom,FI Rates,Yes,None
Yes,no action,Completed,United Kingdom,FI Rates,Yes,Intranet
Yes,Signed,Completed,Asia Pacific,Prime Services,Yes,None
Yes,Signed,Incomplete,Americas,FI Rates,Yes,None
Completed,no action,Completed,United Kingdom,Products,Maternity,None
No,Signed,Completed,Asia Pacific,Prime Services,Yes,Intranet
Yes,Signed,Completed,Americas,FI Rates,Yes,Intranet
Completed,no action,Completed,Americas,Prime Services,Non Lorem,Desktop
Yes,no action,Completed,Americas,Products,Yes,None
Completed,Signed,Completed,Americas,Municipals,Non Lorem,Desktop & Print
No,Waitlisted,Completed,United Kingdom,FI Rates,Yes,Intranet
Completed,Signed,Incomplete,Americas,FI Credit,Non Lorem,Desktop
No,Signed,Completed,United Kingdom,Commodities,Yes,Intranet
No,no action,Incomplete,Americas,FI Rates,Yes,None
Completed,Signed,Completed,Asia Pacific,Prime Services,Non Lorem,Desktop
Completed,no action,Incomplete,United Kingdom,Prime Services,Non Lorem,None
Yes,no action,Incomplete,Americas,Products,Yes,Intranet
Completed,Completed,Incomplete,Europe,Natural Resource Investments,Non Lorem,Desktop
No,no action,Completed,Americas,FI Rates,Yes,Intranet
Completed,no action,Completed,Asia Pacific,Prime Services,Non Lorem,Desktop
Yes,no action,Incomplete,Americas,Prime Services,Yes,Desktop
Completed,no action,Completed,United Kingdom,FICC Structuring,Non Lorem,Desktop
No,no action,Completed,United Kingdom,Syndicate,Yes,Intranet
No,no action,Completed,Asia Pacific,Foreign Exchange,Yes,None
Completed,Completed,Completed,Asia Pacific,Prime Services,Non Lorem,None
Yes,no action,Incomplete,United Kingdom,FI Rates,Yes,Intranet
Yes,no action,Incomplete,Asia Pacific,Foreign Exchange,Yes,Intranet
Yes,Completed,Completed,Americas,Commodities,Yes,Desktop
Yes,no action,Incomplete,Americas,Prime Services,Yes,Intranet
Completed,Completed,Completed,Asia Pacific,Prime Services,Non Lorem,None
Completed,no action,Incomplete,Americas,Prime Services,Non Lorem,Desktop
Yes,no action,Incomplete,Asia Pacific,FI Rates,Yes,Intranet
Yes,Signed,Completed,Asia Pacific,Prime Services,Yes,Intranet
Completed,no action,Completed,United Kingdom,FICC Structuring,Non Lorem,Intranet
No,Signed,Completed,United Kingdom,Prime Services,Yes,None
Yes,no action,Completed,Americas,FI Rates,Yes,Intranet
Yes,Completed,Completed,Asia Pacific,Emerging Markets,Yes,Intranet
No,Signed,Completed,United Kingdom,Syndicate,Yes,Intranet
